entry,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
227,-58.81583935,8921.403869,328.9395951,6194.46982,14154342.2,48.2596595,48.8792834,-2.09413586,1.81679908,1.72531954,0.11908138,-0.12724978
228,-58.81482293,8921.406871,328.943754,6194.4725,14154324.4,48.2588158,48.8764349,-2.07959351,1.80396524,1.71139234,0.11869959,-0.127536978
229,-58.81379549,8921.409824,328.9478929,6194.47518,14154306.7,48.2579759,48.8736014,-2.06516278,1.79139409,1.69765309,0.11831914,-0.12814581
230,-58.81276769,8921.412761,328.9520163,6194.47791,14154289.3,48.2571351,48.8707673,-2.0508318,1.77899362,1.68407936,0.11793787,-0.128509745
231,-58.8117119,8921.41564,328.9561202,6194.48059,14154271.9,48.2563005,48.8679564,-2.03663203,1.76674946,1.67066096,0.11755908,-0.129365065
232,-58.81074404,8921.418403,328.960137,6194.48334,14154254.4,48.255511,48.8652986,-2.02241284,1.7544566,1.65743969,0.11720113,-0.129412201
233,-58.8097097,8921.421219,328.964196,6194.48613,14154237.4,48.2546835,48.8625158,-2.0083748,1.74236942,1.64432176,0.11682496,-0.12980919
234,-58.80864663,8921.424041,328.9683064,6194.48898,14154220.2,48.2538406,48.8596838,-1.99423298,1.73021218,1.63114172,0.11644128,-0.130602275
235,-58.80760004,8921.426787,328.9723332,6194.49181,14154203.5,48.2530151,48.8569127,-1.98039988,1.71834796,1.61830115,0.11606524,-0.130787667
236,-58.80654053,8921.429516,328.9763491,6194.49466,14154187,48.2521878,48.8541381,-1.96668099,1.70664467,1.60559117,0.11568789,-0.131018401
237,-58.8054828,8921.432199,328.9803411,6194.49753,14154170.6,48.2513674,48.8513882,-1.95304418,1.69511753,1.59301626,0.11531353,-0.131305091
238,-58.80441806,8921.434868,328.9843264,6194.50044,14154154.4,48.250541,48.8486209,-1.93951354,1.68387565,1.58057878,0.11493586,-0.132109773
239,-58.80334978,8921.437496,328.9882887,6194.50335,14154138.4,48.249722,48.845881,-1.92608239,1.67303467,1.56830892,0.11456131,-0.132428691
240,-58.80227533,8921.440099,328.9922297,6194.50628,14154122.4,48.2489093,48.8431638,-1.91275589,1.66279713,1.55625216,0.1141894,-0.132175076
241,-58.80117868,8921.442705,328.9962272,6194.50929,14154106.5,48.2480761,48.8403812,-1.89931844,1.65329052,1.54434394,0.11380758,-0.132364995
242,-58.80009589,8921.445244,329.0001372,6194.51235,14154090.9,48.2472663,48.8376783,-1.88618428,1.6451094,1.53325775,0.11343624,-0.132409685
243,-58.79900211,8921.447766,329.0040377,6194.51556,14154075.5,48.2464541,48.8349703,-1.8731629,1.63826674,1.52347666,0.11306343,-0.132268676
244,-58.79790858,8921.450259,329.0079209,6194.51912,14154060.5,48.2456449,48.8322739,-1.86022039,1.63234356,1.51613699,0.1126917,-0.132349396
245,-58.79680894,8921.452705,329.0117899,6194.5233,14154045.9,48.2448369,48.8295838,-1.84737358,1.62604036,1.51218515,0.11232012,-0.132321083
246,-58.79570404,8921.455136,329.0156423,6194.5287,14154032.4,48.244032,48.8269064,-1.83462427,1.61733194,1.51089587,0.1119497,-0.132398284
