,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
1541,268.3270612,14705.12429,2432.461469,1893.83768,67405.4476,366.551882,379.902369,-177.6557329,137.3535443,493.9628172,3.29038394,-6.882513449
1542,268.4048344,14705.18599,2432.483667,1893.84413,67403.5608,366.544184,379.879218,-177.649203,137.5725775,493.8277106,3.28636966,-6.887671355
1543,268.4806775,14705.68535,2432.331562,1893.77138,67400.9459,366.56543,379.945436,-178.272518,138.1421139,494.2287223,3.2967341,-6.941378528
1544,268.2631959,14704.95858,2432.468612,1893.99239,67413.1528,366.547416,379.884754,-177.5764808,136.8688171,494.0804454,3.28883695,-6.884979341
1545,268.49352,14705.37311,2432.218549,1893.76987,67404.5975,366.549916,379.895705,-178.2758272,137.8040941,494.3181731,3.28924264,-6.947869099
1546,268.3258312,14705.08596,2432.509885,1893.79004,67399.4595,366.549454,379.893459,-177.5100392,137.7921502,493.8355214,3.28939726,-6.878353298
1547,268.2653456,14705.04567,2432.482434,1893.65412,67391.1025,366.543142,379.870068,-177.4824332,138.1269793,493.7946675,3.28694388,-6.876259323
1548,267.9933343,14704.09983,2432.775166,1893.83187,67397.5751,366.527287,379.815086,-176.5133077,137.0498335,493.6849038,3.28020717,-6.800995205
1549,268.3732144,14704.90124,2432.586429,1893.78389,67399.0856,366.532458,379.842063,-177.244451,137.5633366,493.5965223,3.28076845,-6.856221136
1550,268.1629157,14704.16973,2432.622686,1893.8441,67402.9095,366.523869,379.802594,-176.8473051,135.704582,493.5623575,3.2789122,-6.831695337
1551,267.8733704,14703.58973,2432.966016,1893.81669,67396.1652,366.519689,379.785081,-175.8832876,136.5372543,493.5082456,3.2779643,-6.751683711
1552,268.1966672,14704.47324,2432.62755,1893.82783,67402.5486,366.514669,379.780256,-176.9370594,136.8107547,493.524184,3.27321057,-6.83544056
1553,268.1480606,14704.41495,2432.636813,1893.81999,67398.5236,366.529158,379.825729,-176.8993736,137.2283265,493.7810262,3.28040267,-6.830312308
1554,268.1182636,14704.42936,2432.772803,1893.84675,67399.8995,366.528584,379.823617,-176.6745992,136.9771775,493.6213552,3.27997854,-6.809441108
1555,268.1917696,14704.62757,2432.643097,1893.86442,67403.3866,366.529717,379.831822,-176.9778333,136.8027612,493.5926739,3.27990147,-6.828301015
1556,268.1188926,14704.47297,2432.692749,1893.81358,67398.1783,366.544701,379.867798,-177.0141675,137.2481016,493.8647611,3.28921562,-6.857708974
1557,268.2503639,14704.66839,2432.604289,1893.89473,67409.9446,366.53448,379.841168,-177.2990056,136.7357554,493.9180687,3.28295779,-6.869705875
1558,268.3040951,14704.66392,2432.774695,1893.78439,67397.9473,366.527563,379.820907,-176.7972682,137.2118335,493.5412875,3.27947674,-6.818806195
1559,268.2278016,14704.63715,2432.539063,1893.78897,67404.4837,366.539206,379.851946,-177.2251986,136.8638158,493.8995952,3.28603137,-6.86818267
1560,268.3017907,14705.10694,2432.451607,1893.72508,67395.9685,366.552032,379.901381,-177.6082796,137.9276289,493.9194352,3.29067871,-6.879589358
1561,268.1086252,14704.39201,2432.723188,1893.87896,67406.3735,366.535259,379.841744,-176.731557,136.5632658,493.7355413,3.28395923,-6.815874935
1562,267.9846815,14704.09536,2432.849222,1893.89187,67402.2875,366.525265,379.80647,-176.4362409,136.8199802,493.6826476,3.27973819,-6.791764504
1563,268.2225927,14704.74563,2432.563316,1893.90095,67405.6739,366.535345,379.843173,-177.3259514,137.088113,494.0091656,3.28355751,-6.874107345
1564,268.0860173,14704.32323,2432.729552,1893.84915,67398.6407,366.523204,379.803543,-176.691403,136.9993035,493.6838002,3.27797297,-6.813616796
1565,268.0331097,14704.06991,2432.689832,1893.84024,67397.9095,366.523822,379.804537,-176.7035399,137.1515416,493.6712477,3.2785099,-6.819169607
1566,268.5976678,14706.08189,2432.163663,1893.64786,67396.5297,366.569786,379.963186,-178.5887606,138.6399345,494.0252384,3.29815097,-6.957694879
1567,268.1423064,14704.3556,2432.731612,1893.85009,67399.3786,366.526701,379.814624,-176.7432078,137.00502,493.4684093,3.27984116,-6.819912998
1568,268.2250713,14704.86429,2432.533514,1893.89513,67406.478,366.542568,379.871268,-177.3737391,136.8188316,494.0699005,3.28605432,-6.860131455
1569,268.1665371,14704.27921,2432.648728,1893.89176,67405.6383,366.521926,379.800173,-176.8642669,136.7952501,493.8130241,3.27732479,-6.835662997
1570,268.0808053,14704.30688,2432.781289,1893.83442,67398.2089,366.527279,379.816748,-176.5928379,137.0668737,493.6566621,3.28004693,-6.805261217
1571,268.8078341,14707.02166,2431.853176,1893.63361,67401.263,366.580253,380.00336,-179.7775884,139.1064433,494.3815871,3.30168445,-7.056840721
1572,268.1204741,14704.63669,2432.772662,1893.80734,67395.9813,366.538282,379.852148,-176.758597,137.3940271,493.5669318,3.28535558,-6.808088709
1573,268.0592651,14704.25747,2432.911294,1894.00494,67409.9692,366.528134,379.817695,-176.4524403,136.0399023,493.6299182,3.2807651,-6.786884459
1574,268.0746498,14704.37958,2432.811804,1894.10529,67418.4886,366.531472,379.82776,-176.6632422,135.8387193,493.7930516,3.28249208,-6.805009421
1575,268.382044,14705.48353,2432.470842,1893.70187,67396.1178,366.56291,379.934897,-177.6903752,137.9565059,493.6695774,3.29608664,-6.876472066
1576,268.3176952,14704.76892,2432.904009,1893.78463,67395.6913,366.525313,379.820872,-176.5492454,137.2301531,493.1376111,3.27736162,-6.777677407
1577,268.2528674,14704.68904,2432.678801,1893.73836,67393.224,366.524622,379.81699,-176.8868996,137.4565028,493.5221048,3.27698787,-6.821584747
1578,268.2900772,14705.0218,2432.631602,1893.8215,67402.2744,366.544421,379.872814,-177.2970565,137.2586914,493.7189848,3.28796821,-6.858292722
1579,268.2988919,14704.98367,2432.735407,1893.84369,67402.3596,366.544728,379.876266,-176.9893242,137.1659447,493.6127447,3.28766079,-6.824681835
1580,268.2156757,14704.6322,2432.684729,1893.7381,67395.5574,366.548042,379.879443,-177.0508686,137.5076283,493.8353808,3.29047611,-6.852915619
1581,268.1882297,14704.56415,2432.573131,1893.89859,67407.3608,366.525912,379.812911,-177.240775,136.9406134,494.0004209,3.27914207,-6.871783284
1582,268.1710042,14704.65064,2432.636055,1893.70082,67392.7376,366.547598,379.877327,-177.1098399,137.7521649,493.669005,3.29058107,-6.85426131
1583,268.2999266,14704.69892,2432.539082,1893.7925,67401.6859,366.53097,379.830638,-177.3778288,137.3127686,494.0161772,3.28118109,-6.883931534
1584,268.1269162,14704.51374,2432.80971,1893.92415,67406.3678,366.530444,379.832083,-176.7056502,136.7039688,493.5621075,3.28059386,-6.801376735
1585,268.3246481,14704.76692,2432.641596,1893.69713,67393.4188,366.53839,379.856809,-177.0761383,137.6975657,493.5292467,3.28453286,-6.841297999
1586,268.2236361,14704.63024,2432.520308,1893.83071,67404.5019,366.534378,379.835941,-177.3320652,137.2897671,493.8463296,3.28400752,-6.881667921
1587,268.232411,14705.05604,2432.597274,1893.84156,67401.0816,366.552273,379.897267,-177.3480531,137.5307222,493.7940444,3.29182526,-6.85626271
1588,268.3192333,14704.89221,2432.535109,1893.75648,67398.7645,366.542349,379.864814,-177.4218129,137.6742465,493.8724381,3.28710569,-6.88178971
1589,267.8306703,14703.66269,2433.006888,1894.21144,67420.4129,366.534245,379.825476,-176.0616934,135.067221,493.8366121,3.28593257,-6.768645892
