,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2,MP2,Corr_CCSD,CCSD,Corr_CCSD(T),CCSD(T),RHF
1727,44.70591288,2756.860826,410.7860463,488.231039,42008.7667,62.5904056,67.4327924,-1.13189272,-12.1792907,65.25403309,1.41926266,-1.358826597,-457.6761975,-1.3927266,-457.7100975,-1.429135903,-457.7465068,-456.3173709
1728,44.90280126,2757.929131,410.9691541,488.227636,42006.0662,62.6078762,67.4651545,-1.13861889,-11.96520795,64.19184407,1.43395506,-1.352932154,-457.6811669,-1.3879157,-457.7161505,-1.423522061,-457.7517569,-456.3282348
1729,45.14930176,2759.079636,411.1677542,488.163681,41995.388,62.6908702,67.7196299,-1.00268694,-12.08185711,62.89993332,1.48223572,-1.346208893,-457.6604606,-1.3827092,-457.6969609,-1.417598216,-457.7318499,-456.3142517
1730,44.69774922,2757.771975,410.843115,488.254937,42008.2856,62.5254278,67.2411958,-1.30127473,-11.59910667,64.48009114,1.38575866,-1.354282303,-457.6898517,-1.388945,-457.7245144,-1.424795623,-457.7603651,-456.3355694
1731,44.5153576,2755.955608,410.7074399,488.201217,41995.3976,62.5433808,67.2857353,-0.76716411,-12.28378839,65.41289437,1.39784872,-1.35623333,-457.6636396,-1.3904139,-457.6978202,-1.426717747,-457.734124,-456.3074063
1732,44.76596258,2758.188149,410.957239,488.260661,42004.0301,62.655783,67.6394497,-1.06550558,-12.25484004,64.00661401,1.45936325,-1.349933803,-457.6680274,-1.3854379,-457.7035315,-1.42076559,-457.7388592,-456.3180936
1733,45.13325331,2758.454924,411.0912293,488.191723,42007.0961,62.5798943,67.4020186,-1.09121205,-11.97785792,63.4907657,1.41728557,-1.35298437,-457.6762239,-1.3879164,-457.7111559,-1.423513009,-457.7467526,-456.3232395
1734,45.31293977,2758.892048,411.2231058,488.153805,42001.1321,62.5765519,67.3693188,-1.06918134,-11.85600893,62.90166322,1.41795834,-1.349296376,-457.6961848,-1.3844506,-457.731339,-1.419396829,-457.7662853,-456.3468884
1735,44.44915129,2755.586536,410.6488596,488.170317,41987.0914,62.6309538,67.6007481,-0.70543229,-13.21769958,66.10957537,1.43203175,-1.357072838,-457.6921213,-1.3906828,-457.7257313,-1.427054914,-457.7621034,-456.3350485
1736,44.76001664,2757.313901,410.7845241,488.20032,42007.5421,62.6217795,67.533859,-1.18597562,-11.74279584,64.83552384,1.43574901,-1.357326822,-457.6805235,-1.3920918,-457.7152885,-1.428401497,-457.7515982,-456.3231967
1737,44.45516376,2756.780076,410.6861489,488.260341,42003.8688,62.5991849,67.4581983,-1.13004803,-12.44679041,65.56467329,1.42394981,-1.355115731,-457.6829884,-1.3895679,-457.7174405,-1.425664253,-457.7535369,-456.3278726
1738,44.42231906,2756.443009,410.7988292,488.213305,41980.0385,62.3949136,66.8130075,-0.72519711,-10.73323594,64.196692,1.32473044,-1.348732188,-457.6694201,-1.38374,-457.7044279,-1.418989219,-457.7396771,-456.3206879
1739,45.54061705,2759.381276,411.2244756,488.177232,42024.2027,62.6875071,67.7245483,-1.36283964,-12.53224266,63.30800182,1.46929406,-1.357933328,-457.6836643,-1.3924016,-457.7181326,-1.428399071,-457.75413,-456.3257309
1740,44.80229483,2756.344241,410.7192205,488.115453,41997.9611,62.703234,67.8119898,-1.02824291,-13.23673499,66.01069671,1.47200912,-1.358671519,-457.6810247,-1.3930608,-457.715414,-1.429634414,-457.7519876,-456.3223532
1741,44.07685646,2757.071939,410.5887058,488.42659,42013.6712,62.7789775,68.0172666,-1.45311793,-13.27903597,66.5616778,1.51674571,-1.352426743,-457.6711072,-1.3876889,-457.7063694,-1.423497139,-457.7421776,-456.3186805
1742,45.57217038,2758.92857,411.228498,488.083972,42005.7833,62.7034603,67.7801096,-0.97143007,-12.40677157,62.83658655,1.48145533,-1.352902494,-457.6779699,-1.3884187,-457.7134861,-1.42396855,-457.7490359,-456.3250674
1743,44.10649136,2756.724812,410.5635364,488.330766,42002.9512,62.6383976,67.5749667,-1.34309428,-12.44173349,66.22017158,1.44559116,-1.355093414,-457.6607416,-1.3901326,-457.6957809,-1.426345094,-457.7319933,-456.3056482
1744,44.65143669,2756.706802,410.71388,488.204338,42004.2854,62.4006242,66.8436744,-1.09210185,-10.56457975,64.58350186,1.3220333,-1.357138804,-457.6864841,-1.3918062,-457.7211514,-1.42810215,-457.7574474,-456.3293453
1745,44.70286086,2757.234894,410.8938605,488.153335,41982.2842,62.8647416,68.275255,-0.84986508,-14.37994423,65.47956645,1.56460896,-1.347232016,-457.6769625,-1.3831686,-457.7128991,-1.418260427,-457.7479909,-456.3297305
1746,44.9699495,2758.393354,410.9771222,488.217487,42010.5901,62.8340231,68.1725299,-1.45982767,-13.37083496,65.13758055,1.55070685,-1.353333272,-457.6695897,-1.3891327,-457.7053891,-1.424663441,-457.7409198,-456.3162564
1747,44.85430423,2757.93199,411.0072471,488.195943,41992.4442,62.6132043,67.452087,-0.83060023,-11.75093989,63.52509923,1.44562433,-1.347280417,-457.6681953,-1.3833733,-457.7042882,-1.418369915,-457.7392848,-456.3209149
1748,44.56693285,2756.622824,410.6568728,488.217429,42005.5415,62.6531786,67.6614962,-1.22738299,-12.64880214,65.94544978,1.44525333,-1.358627056,-457.676081,-1.3930878,-457.7105418,-1.429693177,-457.7471471,-456.3174539
1749,44.99185998,2759.223685,411.0919635,488.257718,42009.5314,62.6340635,67.5555082,-1.34447066,-11.50096096,63.24881883,1.4476754,-1.349043499,-457.6822962,-1.3849004,-457.7181531,-1.419983649,-457.7532363,-456.3332527
1750,45.18642795,2757.738454,411.0406995,488.08734,41994.7145,62.7350722,67.8850713,-0.73422676,-13.04177948,63.97300757,1.49620371,-1.353615165,-457.6780502,-1.388472,-457.7129071,-1.424177615,-457.7486127,-456.3244351
1751,44.54211692,2757.144568,410.7283411,488.254964,42005.2515,62.5592705,67.3514065,-1.30426097,-11.49827365,65.17130293,1.40326732,-1.35469968,-457.6787227,-1.3894742,-457.7134972,-1.425472129,-457.7494952,-456.324023
1752,44.84737921,2757.67702,410.9484123,488.194171,41996.6898,62.5607466,67.2995145,-1.02360323,-11.93121777,64.16399654,1.41223392,-1.350022622,-457.6798635,-1.3854286,-457.7152694,-1.420738151,-457.750579,-456.3298409
1753,45.22111045,2758.755802,411.1545141,488.166908,42002.8286,62.707396,67.789523,-1.10784986,-12.83753145,63.63685539,1.48182217,-1.350484809,-457.6855109,-1.385827,-457.7208531,-1.421049812,-457.7560759,-456.3350261
1754,44.8567556,2757.797684,410.9463968,488.191747,41997.4894,62.6265798,67.5636741,-1.05150031,-12.4017956,64.31490113,1.43719043,-1.351117046,-457.6844752,-1.3861166,-457.7194747,-1.421673461,-457.7550316,-456.3333581
1755,44.72676892,2756.073229,410.7526371,488.152428,41995.8263,62.6501625,67.6549201,-0.81879335,-13.3167004,65.80654683,1.4422651,-1.356860554,-457.6958851,-1.3906039,-457.7296285,-1.426883071,-457.7659077,-456.3390246
1756,44.61318708,2758.333691,410.8646073,488.290011,42006.4347,62.721288,67.8209057,-1.35116366,-12.4614102,64.61579056,1.49148173,-1.348691593,-457.6769142,-1.3848167,-457.7130393,-1.420111385,-457.748334,-456.3282226
1757,44.51577779,2755.595071,410.6382952,488.151467,41989.9279,62.8051137,68.0789438,-0.87416601,-14.50395845,67.06457629,1.53012235,-1.357147678,-457.6753551,-1.391522,-457.7097294,-1.427857946,-457.7460654,-456.3182074
1758,44.86779914,2757.441539,410.8881654,488.176963,42001.4036,62.7401913,67.8889163,-1.07499875,-13.73174272,65.33516815,1.49691169,-1.354409232,-457.6741492,-1.3894931,-457.7092331,-1.42542803,-457.745168,-456.3197399
1759,44.94163563,2758.752678,411.0511307,488.227134,42003.5243,62.8789144,68.3285565,-1.36100961,-13.73612791,64.77539267,1.57122069,-1.350227977,-457.6774164,-1.3857124,-457.7129008,-1.42098024,-457.7481687,-456.3271885
1760,44.60362772,2756.717635,410.7991202,488.211526,41997.2121,62.7195342,67.8697121,-0.8689666,-13.53987631,65.45674918,1.48065047,-1.354311549,-457.6930317,-1.3883974,-457.7271176,-1.424338978,-457.7630591,-456.3387201
1761,45.24951526,2757.600828,410.9271694,488.075515,42007.5136,62.7742465,68.0179285,-1.17939395,-13.70158762,65.20567915,1.51064151,-1.359661995,-457.6703694,-1.3945005,-457.7052079,-1.431101739,-457.7418092,-456.3107074
1762,44.19669031,2757.321116,410.7403248,488.335438,41993.8931,62.63163,67.5391051,-1.2204938,-12.03701984,65.25672128,1.44634641,-1.348021646,-457.6754611,-1.3835578,-457.7109973,-1.418661118,-457.7461006,-456.3274395
1763,44.70426703,2756.301924,410.7521058,488.137384,41991.9349,62.7762178,68.0325829,-0.97842059,-14.12352076,66.38020027,1.51101646,-1.356027934,-457.6897906,-1.3903157,-457.7240784,-1.426496475,-457.7602592,-456.3337627
1764,44.31327998,2755.80505,410.6515434,488.205953,41984.1244,62.6301035,67.5767948,-0.84131583,-13.21418245,66.22533836,1.43697691,-1.35436456,-457.6936541,-1.38845,-457.7277395,-1.424506243,-457.7637958,-456.3392896
1765,44.40312504,2755.964045,410.6029602,488.204771,41995.3102,62.5663901,67.3981174,-1.11402227,-12.26403926,66.17157013,1.39951971,-1.356681629,-457.6800686,-1.3912167,-457.7146037,-1.427602965,-457.7509899,-456.323387
1766,44.76165181,2758.243191,410.9468495,488.259446,42003.99,62.5945648,67.4279108,-1.21721793,-11.8996331,64.01619918,1.4268696,-1.349664406,-457.6819623,-1.385323,-457.7176209,-1.420681485,-457.7529794,-456.3322979
1767,44.48762796,2756.062288,410.64345,488.208632,42000.0561,62.5250407,67.2842125,-0.89530292,-12.08284547,65.44192327,1.37882047,-1.356419069,-457.6966209,-1.3903951,-457.7305969,-1.4267503,-457.7669522,-456.3402019
1768,44.19664316,2755.906639,410.4491655,488.263835,42004.4975,62.6081971,67.5013057,-1.36591789,-12.20769595,66.86361268,1.42663429,-1.358325667,-457.6666891,-1.3932601,-457.7016236,-1.429913122,-457.7382766,-456.3083634
